"name","artists","duration_ms","release_date","year","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","mode","key","popularity","explicit","count"
"Ode - Elegiacal Chant in 3 Parts for Orchestra: II. Eclogue","['Igor Stravinsky', 'New York Philharmonic']","175533","1948","1948","0.971","0.539","0.349","0.14","0.139","-16.407","0.0491","132.996","0.67","0","5","0","0","3"
"Ode - Elegiacal Chant in 3 Parts for Orchestra: III. Epitaph","['Igor Stravinsky', 'New York Philharmonic']","211240","1948","1948","0.907","0.152","0.12","0.053","0.0909","-20.592","0.0368","97.74","0.047","1","10","0","0","3"
"Oh, How Proud Our Quiet Don from Quiet Flows the Don","['Ivan Dzerzhinsky', 'Paul Robeson Jr.', 'Lawrence Brown']","197067","1942","1942","0.993","0.305","0.0375","0.0175","0.111","-22.239","0.0365","78.312","0.231","0","2","0","0","2"
"Otello: Già nella notte","['Giuseppe Verdi', 'Richard Tucker', 'Max Rudolf']","509733","1949","1949","0.977","0.231","0.218","0.00477","0.0754","-14.891","0.0411","94.561","0.0394","1","1","0","0","2"
"Pagliacci: ""Recitar! Mentre preso - Vesti la giubba""","['Ruggero Leoncavallo', 'Richard Tucker']","220133","1949","1949","0.973","0.175","0.254","0.0101","0.103","-11.793","0.0393","64.113","0.0642","1","4","1","0","2"
"Parade: Suite au Prélude du rideau rouge","['Erik Satie', 'Efrem Kurtz', 'Houston Symphony']","26120","1949","1949","0.888","0.156","0.141","0.975","0.485","-25.515","0.0432","133.036","0.0379","1","0","0","0","2"
"Partita No.4 in D Major, BWV 828: Allemande","['Johann Sebastian Bach', 'William Kapell']","458827","1945","1945","0.994","0.264","0.127","0.88","0.0877","-23.837","0.041","98.576","0.113","1","2","0","0","2"
"Partita No.4 in D Major, BWV 828: Aria","['Johann Sebastian Bach', 'William Kapell']","151240","1945","1945","0.994","0.213","0.189","0.919","0.148","-22.547","0.0379","174.128","0.729","1","2","0","0","2"
"Partita No.4 in D Major, BWV 828: Sarabande","['Johann Sebastian Bach', 'William Kapell']","292893","1945","1945","0.994","0.297","0.12","0.879","0.07","-28.25","0.0436","139.91","0.283","1","2","0","0","2"
"Pater Noster - Revised 1949 Version","['Igor Stravinsky']","104867","1948","1948","0.994","0.282","0.0708","0.0148","0.136","-23.861","0.0403","118.631","0.0763","0","0","0","0","2"
"Pervolaria","['Dimitris Perdikopoulos']","213307","1/1/40","1940","0.995","0.569","0.381","0.0109","0.123","-9.301","0.0359","112.347","0.755","1","5","0","0","2"
"Petrushka Suite: Dance of the Gypsy Girls","['Igor Stravinsky', 'Columbia Symphony Orchestra']","68200","1948","1948","0.966","0.365","0.26","0.965","0.258","-15.49","0.0426","142.389","0.292","1","0","0","0","2"
