"name","artists","duration_ms","release_date","year","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","mode","key","popularity","explicit","count"
"Pulcinella Suite: VII. Vivo","['Igor Stravinsky', 'Columbia Symphony Orchestra']","97867","1948","1948","0.931","0.682","0.195","0.902","0.122","-17.767","0.047","111.757","0.578","1","5","0","0","2"
"Pulcinella Suite: VIIIa. Minuetto. Molto moderato","['Igor Stravinsky', 'Columbia Symphony Orchestra']","127160","1948","1948","0.986","0.224","0.0299","0.858","0.228","-20.68","0.0309","88.649","0.124","1","0","0","0","2"
"Pulcinella Suite: VIIIb. Finale. Allegro assai","['Igor Stravinsky', 'Columbia Symphony Orchestra']","126333","1948","1948","0.968","0.47","0.388","0.892","0.251","-13.377","0.0483","135.77","0.658","1","0","0","0","2"
"Ragtime","['Igor Stravinsky']","281307","1948","1948","0.836","0.51","0.307","0.862","0.0669","-16.963","0.0444","157.437","0.283","1","0","0","0","2"
"Red","['Taylor Swift']","220827","10/22/12","2012","0.0773","0.602","0.896","8.87e-05","0.091","-4.267","0.0437","124.978","0.641","0","1","58","0","2"
"Renard - Histoire burlesque chantée et jouée","['Igor Stravinsky']","931440","1948","1948","0.94","0.48","0.281","0.000167","0.162","-17.647","0.109","135.145","0.342","1","2","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Tema: L'istesso tempo","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","18533","1945","1945","0.993","0.45","0.109","0.031","0.142","-17.95","0.0502","155.754","0.926","0","2","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation II: L'istesso tempo","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","17907","1945","1945","0.994","0.441","0.151","0.852","0.468","-18.048","0.0557","82.922","0.975","0","2","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation III: L'istesso tempo","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","23293","1945","1945","0.994","0.419","0.338","0.942","0.62","-18.789","0.0353","159.202","0.837","0","2","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation VI: L'istesso tempo","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","60067","1945","1945","0.992","0.428","0.174","0.645","0.374","-20.253","0.0343","47.059","0.302","0","9","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation VII: Meno mosso, a tempo moderato","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","61467","1945","1945","0.983","0.635","0.0123","0.955","0.107","-27.297","0.0521","83.046","0.61","1","0","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation XI: Moderato","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","76973","1945","1945","0.976","0.268","0.283","0.674","0.545","-22.398","0.0445","90.244","0.0333","1","5","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation XII: Tempo di minuetto","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","69827","1945","1945","0.995","0.29","0.0435","0.87","0.115","-24.839","0.0317","85.221","0.149","0","2","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation XIII: Allegro","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","26373","1945","1945","0.995","0.379","0.276","0.88","0.304","-14.784","0.0327","143.323","0.942","0","2","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation XIX: A tempo vivace","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","35067","1945","1945","0.965","0.457","0.315","0.799","0.211","-23.946","0.0525","83.859","0.821","1","5","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation XVII: [Allegretto]","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","95773","1945","1945","0.995","0.217","0.0887","0.909","0.1","-25.614","0.0362","131.292","0.0467","1","6","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation XX: Un poco più vivo","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","35907","1945","1945","0.994","0.504","0.315","0.954","0.303","-15.634","0.0658","175.239","0.752","0","2","0","0","2"
"Rhapsody on a Theme of Paganini, Op.43: Variation XXII: Un poco più vivo (Alla breve)","['Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner']","102973","1945","1945","0.98","0.401","0.313","0.884","0.183","-14.189","0.0276","99.106","0.196","1","10","0","0","2"
"Romance in F-Sharp, Op. 28, No. 2","['Robert Schumann', 'William Kapell']","248440","1945","1945","0.995","0.339","0.0112","0.914","0.0941","-29.469","0.0463","112.68","0.328","1","6","0","0","2"
"Romeo and Juliet, Op. 75: 9. Dance of the Girls With Lilies","['Sergei Prokofiev', 'Isaac Stern']","110840","1949","1949","0.972","0.466","0.0111","0.717","0.105","-31.184","0.0506","116.155","0.196","0","4","0","0","2"
"Rondo, No. 2","['Muzio Clementi', 'Vladimir Horowitz']","214667","1928","1928","0.991","0.317","0.0916","0.918","0.104","-30.682","0.0411","80.74","0.511","1","10","0","0","2"
"Russian Maiden's Song","['Igor Stravinsky', 'Joseph Szigeti']","267000","1948","1948","0.938","0.26","0.123","0.000297","0.126","-17.299","0.0436","85.463","0.384","1","10","0","0","3"
"Saudades do Brasil, Op. 67: VIII. Tijuca","['Darius Milhaud', 'Isaac Stern']","114293","1949","1949","0.964","0.391","0.0482","0.0722","0.155","-23.209","0.041","118.091","0.181","1","9","0","0","2"
"Scherzo a capriccio: Presto","['Felix Mendelssohn', 'Vladimir Horowitz']","352600","1928","1928","0.995","0.424","0.12","0.911","0.0915","-19.242","0.0593","63.521","0.266","0","6","0","0","2"
"Scherzo No. 1 in B Minor, Op. 20","['Frédéric Chopin', 'Vladimir Horowitz']","515253","1928","1928","0.978","0.256","0.118","0.887","0.0533","-20.179","0.0405","79.325","0.123","1","11","0","0","2"
"Scherzo No. 3 in C-Sharp Minor, Op. 39","['Frédéric Chopin', 'Vladimir Horowitz']","395960","1928","1928","0.991","0.4","0.241","0.901","0.0923","-15.06","0.0367","104.474","0.131","1","1","0","0","2"
"Septet: I. [Sonata Allegro] Quarter Note = 88","['Igor Stravinsky']","200733","1948","1948","0.99","0.414","0.132","0.131","0.105","-17.25","0.0354","93.301","0.267","1","2","0","0","2"
"Septet: II. Passacaglia","['Igor Stravinsky']","276600","1948","1948","0.99","0.0847","0.0562","0.431","0.107","-22.69","0.0438","181.308","0.0462","0","11","0","0","2"
"Septet: III. Gigue","['Igor Stravinsky']","232027","1948","1948","0.992","0.395","0.163","0.758","0.0856","-21.996","0.0462","156.172","0.41","0","11","0","0","2"
"Serenade for Solo Violin, Strings, Harp and Percussion after Plato's ""Symposium"" (1954): I. Phaedrus: Pausanias (Lento - Allegro)","['Leonard Bernstein', 'Symphony Of The Air', 'New York Philharmonic', 'Lukas Foss']","420453","1950","1950","0.841","0.273","0.18","0.708","0.043","-16.459","0.044","87.85","0.0634","0","0","0","0","2"
"Serenade for Solo Violin, Strings, Harp and Percussion after Plato's ""Symposium"" (1954): III. Eryximachus (Presto)","['Leonard Bernstein', 'Symphony Of The Air', 'New York Philharmonic', 'Lukas Foss']","88413","1950","1950","0.784","0.463","0.476","0.792","0.156","-17.352","0.0611","139.745","0.577","1","0","0","0","2"
"Something In The Way","['Nirvana']","232147","9/26/91","1991","0.745","0.427","0.201","0.263","0.109","-13.044","0.0317","105.218","0.0668","1","8","31","0","2"
"Sometimes I Feel Like A Motherless Child","['Traditional', 'Paul Robeson Jr.', 'Lawrence Brown']","148133","1942","1942","0.988","0.392","0.0709","0","0.114","-19.8","0.0346","82.567","0.219","0","9","0","0","2"
"Sonata for Violin & Piano in C Major: I. Lebhaft","['Paul Hindemith', 'Isaac Stern']","141227","1949","1949","0.961","0.412","0.211","0.00036","0.0538","-12.269","0.0362","116.388","0.292","1","5","0","0","2"
"Sonata for Violin & Piano in C Major: II. Langsam - Lebhaft - Langsam","['Paul Hindemith', 'Isaac Stern']","238960","1949","1949","0.965","0.421","0.179","0.11","0.125","-19.148","0.0435","139.706","0.149","1","9","0","0","2"
"Sonata for Violin and Piano (1942/3): II. Lento","['Aaron Copland']","281973","1949","1949","0.97","0.197","0.0296","0.0956","0.259","-25.011","0.044","92.253","0.0587","1","7","0","0","2"
"Sonata in E, K.380/L.23","['Domenico Scarlatti', 'William Kapell']","201840","1945","1945","0.992","0.373","0.146","0.936","0.202","-20.263","0.0381","82.444","0.256","1","4","0","0","2"
"Sonata in F Minor, Op. 120 No. 1: I. Allegro appassionato","['Johannes Brahms', 'William Kapell', 'William Primrose']","406427","1945","1945","0.976","0.234","0.192","0.102","0.128","-13.109","0.0419","71.467","0.205","0","10","0","0","2"
"Sonata in F Minor, Op. 120 No. 1: III. Allegretto grazioso","['Johannes Brahms', 'William Kapell', 'William Primrose']","233133","1945","1945","0.985","0.278","0.193","0.0372","0.271","-12.889","0.0452","164.012","0.317","1","8","0","0","2"
"Sonata in F Minor, Op. 120 No. 1: IV. Vivace","['Johannes Brahms', 'William Kapell', 'William Primrose']","271667","1945","1945","0.982","0.409","0.182","0.0306","0.153","-12.279","0.0397","99.867","0.268","1","5","0","0","2"
"Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": Grave; Doppio movimento","['Frédéric Chopin', 'William Kapell']","343133","1945","1945","0.974","0.318","0.264","0.471","0.106","-16.569","0.0384","81.487","0.0793","0","10","0","0","2"
"Sonata No. 2 in B-Flat Minor, Op. 35 ""Funeral March"": Marche funèbre","['Frédéric Chopin', 'William Kapell']","417373","1945","1945","0.796","0.265","0.0129","0.00183","0.132","-24.183","0.0439","56.246","0.0376","0","10","0","0","2"
"Sonata No. 3 in B Minor, Op. 58: Allegro maestoso","['Frédéric Chopin', 'William Kapell']","522093","1945","1945","0.991","0.209","0.15","0.907","0.351","-21.55","0.0332","69.225","0.0965","0","1","0","0","2"
"Sonata No. 3 in B Minor, Op. 58: Allegro maestoso (beginning) I","['Frédéric Chopin', 'William Kapell']","236707","1945","1945","0.986","0.306","0.234","0.9","0.169","-18.832","0.0297","87.453","0.123","1","2","0","0","2"
"Sonata No. 3 in B Minor, Op. 58: Finale: Presto, non tanto","['Frédéric Chopin', 'William Kapell']","275600","1945","1945","0.983","0.248","0.34","0.899","0.107","-16.692","0.0302","98.918","0.283","1","11","0","0","2"
"Sonata No. 3 in B Minor, Op. 58: Largo","['Frédéric Chopin', 'William Kapell']","531893","1945","1945","0.994","0.318","0.00341","0.933","0.108","-33.516","0.0421","100.353","0.159","1","11","0","0","2"
"Sonata No. 3, Op. 14: III: Theme: Andantino","['Robert Schumann', 'Vladimir Horowitz']","44827","1928","1928","0.996","0.515","0.00553","0.976","0.123","-29.964","0.041","68.805","0.453","1","3","0","0","2"
"Sonata No. 3, Op. 14: III: Variation I","['Robert Schumann', 'Vladimir Horowitz']","47867","1928","1928","0.996","0.35","0.0352","0.946","0.126","-19.777","0.0347","81.506","0.279","0","5","0","0","2"
"Sonata No. 3, Op. 14: III: Variation II","['Robert Schumann', 'Vladimir Horowitz']","94307","1928","1928","0.995","0.389","0.263","0.914","0.128","-15.034","0.0354","73.981","0.188","0","5","0","0","2"
"Sonata No. 3, Op. 14: III: Variation III","['Robert Schumann', 'Vladimir Horowitz']","76960","1928","1928","0.995","0.316","0.191","0.914","0.101","-16.249","0.0389","109.331","0.18","0","10","0","0","2"
"Sonata No. 3, Op. 14: III: Variation IV","['Robert Schumann', 'Vladimir Horowitz']","166733","1928","1928","0.995","0.362","0.181","0.93","0.0894","-14.66","0.0574","128.53","0.143","0","5","0","0","2"
"Sonata No. 3, Op. 23 in F-Sharp Minor: I. Dramatico","['Alexander Scriabin', 'Vladimir Horowitz']","389107","1928","1928","0.995","0.449","0.0927","0.892","0.157","-20.592","0.0523","73.751","0.0382","1","6","0","0","2"
"Sonata No. 3, Op. 23 in F-Sharp Minor: II. Allegretto","['Alexander Scriabin', 'Vladimir Horowitz']","192627","1928","1928","0.996","0.4","0.0641","0.911","0.0879","-21.151","0.0341","82.566","0.0874","0","5","0","0","2"
"Sonata No. 3, Op. 23 in F-Sharp Minor: III. Andante","['Alexander Scriabin', 'Vladimir Horowitz']","288907","1928","1928","0.996","0.278","0.0049","0.932","0.0954","-31.442","0.0407","81.033","0.0606","1","11","0","0","2"
"Sonata No. 3, Op. 23 in F-Sharp Minor: IV. Presto con fuoco; Meno mosso","['Alexander Scriabin', 'Vladimir Horowitz']","326067","1928","1928","0.996","0.319","0.155","0.917","0.126","-18.728","0.036","66.947","0.0488","1","4","0","0","2"
"Sonata No. 3, Op. 46: I. Allegro con moto","['Dmitry Kabalevsky', 'Vladimir Horowitz']","350373","1928","1928","0.992","0.266","0.242","0.915","0.154","-19.283","0.0314","86.437","0.114","0","10","0","0","2"
"Sonata No. 3, Op. 46: II. Andante cantabile","['Dmitry Kabalevsky', 'Vladimir Horowitz']","285133","1928","1928","0.993","0.372","0.0945","0.941","0.189","-22.709","0.0317","59.217","0.0791","0","10","0","0","2"
"Sonata No. 3, Op. 46: III. Allegro giocoso","['Dmitry Kabalevsky', 'Vladimir Horowitz']","292800","1928","1928","0.992","0.401","0.244","0.888","0.0969","-20.262","0.0331","132.142","0.292","1","1","0","0","2"
"Sonata No. 5, Op. 53","['Alexander Scriabin', 'Vladimir Horowitz']","733493","1928","1928","0.991","0.3","0.101","0.879","0.167","-19.827","0.0448","72.877","0.0382","1","4","0","0","2"
"Sonata No. 7 in B-Flat, Op. 83: I. Allegro inquieto; Andantino","['Sergei Prokofiev', 'Vladimir Horowitz']","497027","1928","1928","0.993","0.384","0.262","0.913","0.275","-17.716","0.0371","138.552","0.123","1","0","0","0","2"
"Sonata No. 7 in B-Flat, Op. 83: II. Andante caloroso","['Sergei Prokofiev', 'Vladimir Horowitz']","322973","1928","1928","0.994","0.274","0.112","0.924","0.0862","-21.116","0.0387","67.071","0.0618","0","8","0","0","2"
"Sonata No. 7 in B-Flat, Op. 83: III. Precipitato","['Sergei Prokofiev', 'Vladimir Horowitz']","226560","1928","1928","0.993","0.302","0.501","0.937","0.101","-17.508","0.036","169.732","0.709","0","7","0","0","2"
"Sonata quasi Concerto, Op. 33, No. 3 in C: I. Allegro con spirito","['Muzio Clementi', 'Vladimir Horowitz']","610800","1928","1928","0.99","0.298","0.124","0.89","0.113","-24.202","0.039","149.324","0.265","1","0","0","0","2"
"Sonata quasi Concerto, Op. 33, No. 3 in C: II. Adagio e cantabile, con espressione","['Muzio Clementi', 'Vladimir Horowitz']","351000","1928","1928","0.989","0.222","0.0113","0.954","0.0873","-33.218","0.043","74.04","0.0917","1","5","0","0","2"
"Sonata quasi Concerto, Op. 33, No. 3 in C: III. Presto","['Muzio Clementi', 'Vladimir Horowitz']","326467","1928","1928","0.99","0.27","0.0837","0.915","0.0944","-27.367","0.0349","76.467","0.377","1","0","0","0","2"
"Sonata, Op. 14, No. 3 in F Minor: I. Allegro agitato","['Muzio Clementi', 'Vladimir Horowitz']","251960","1928","1928","0.993","0.28","0.0436","0.885","0.0865","-25.958","0.0393","81.076","0.182","1","8","0","0","2"
"Sonata, Op. 14, No. 3 in F Minor: II. Largo e sostenuto","['Muzio Clementi', 'Vladimir Horowitz']","298267","1928","1928","0.995","0.377","0.0216","0.899","0.127","-28.693","0.0596","98.532","0.0594","0","0","0","0","2"
"Sonata, Op. 14, No. 3 in F Minor: III. Presto","['Muzio Clementi', 'Vladimir Horowitz']","274573","1928","1928","0.995","0.282","0.0432","0.895","0.083","-25.982","0.0356","97.567","0.34","1","8","0","0","2"
"Sonata, Op. 26, No. 2 in F-Sharp Minor: I. Piuttosto allegro con espressione","['Muzio Clementi', 'Vladimir Horowitz']","233000","1928","1928","0.994","0.271","0.0428","0.867","0.0854","-28.673","0.0398","84.237","0.139","0","6","0","0","2"
"Sonata, Op. 26, No. 2 in F-Sharp Minor: II. Lento e patetico","['Muzio Clementi', 'Vladimir Horowitz']","227360","1928","1928","0.995","0.372","0.00376","0.946","0.0569","-33.926","0.0518","139.103","0.129","0","11","0","0","2"
"Sonata, Op. 26, No. 2 in F-Sharp Minor: III. Presto","['Muzio Clementi', 'Vladimir Horowitz']","225800","1928","1928","0.995","0.324","0.0829","0.913","0.116","-24.992","0.0382","137.032","0.399","1","9","0","0","2"
"Sonata, Op. 34, No. 2 in G Minor: I. Largo; Allegro con fuoco","['Muzio Clementi', 'Vladimir Horowitz']","562827","1928","1928","0.994","0.369","0.166","0.894","0.097","-22.245","0.0534","136.248","0.135","1","10","0","0","2"
"Sonata, Op. 34, No. 2 in G Minor: III. Allegro molto","['Muzio Clementi', 'Vladimir Horowitz']","384600","1928","1928","0.995","0.41","0.176","0.879","0.241","-23.061","0.0581","78.439","0.346","0","7","0","0","2"
"Sound of Madness","['Shinedown']","233987","6/24/08","2008","4.93e-05","0.328","0.939","0.0065","0.337","-1.654","0.0423","185.971","0.329","0","2","51","0","2"
"Spinning Song, No.4","['Felix Mendelssohn', 'William Kapell']","97840","1945","1945","0.995","0.385","0.113","0.854","0.206","-23.487","0.0451","94.998","0.597","0","9","0","0","2"
"String Quartet No. 2 in G Major, Op. 18: IV. Allegro molto quasi presto","['Ludwig van Beethoven', 'Budapest String Quartet']","297867","1952","1952","0.976","0.338","0.145","0.844","0.0956","-20.058","0.0417","129.572","0.43","1","9","0","0","2"
"String Quartet No. 4 in C Minor, Op. 18: II. Scherzo. Andante scherzoso quasi allegretto","['Ludwig van Beethoven', 'Budapest String Quartet']","602467","1952","1952","0.984","0.106","0.0563","0.86","0.0615","-25.867","0.0517","79.959","0.0379","0","2","0","0","2"
"String Quartet No. 4 in C Minor, Op. 18: III. Menuetto. Allegretto - Trio","['Ludwig van Beethoven', 'Budapest String Quartet']","192467","1952","1952","0.984","0.466","0.0725","0.788","0.0898","-23.451","0.0467","107.496","0.396","1","5","0","0","2"
"Style","['Taylor Swift']","231000","10/27/14","2014","0.00245","0.588","0.791","0.00258","0.118","-5.595","0.0402","94.933","0.487","1","7","56","0","2"
"Suite in A Minor, BWV 818: Courante","['Johann Sebastian Bach', 'William Kapell']","66867","1945","1945","0.995","0.578","0.383","0.927","0.111","-17.69","0.0538","99.082","0.622","1","0","0","0","2"
"Sylvia","['Oley Speaks', 'Paul Robeson Jr.', 'Lawrence Brown', 'Columbia Concert Orchestra']","126333","1942","1942","0.972","0.203","0.113","0.00225","0.143","-22.179","0.0371","100.481","0.199","1","10","0","0","2"
"Symphonie espagnole pour violon et orchestre in D Minor, Op. 21: I. Allegro non troppo","['Édouard Lalo', 'Pierre Monteux', 'Yehudi Menuhin']","446907","1945","1945","0.9","0.419","0.309","0.885","0.149","-10.497","0.0457","78.404","0.553","0","2","0","0","2"
"Symphonie espagnole pour violon et orchestre in D Minor, Op. 21: II. Scherzando - Allegro molto","['Édouard Lalo', 'Pierre Monteux', 'Yehudi Menuhin']","244533","1945","1945","0.719","0.356","0.279","0.0309","0.324","-13.988","0.0603","81.183","0.545","1","7","0","0","2"
"Symphonie espagnole pour violon et orchestre in D Minor, Op. 21: III. Intermezzo - Allegretto non troppo","['Édouard Lalo', 'Pierre Monteux', 'Yehudi Menuhin']","352760","1945","1945","0.836","0.437","0.268","0.161","0.0843","-12.536","0.0506","139.214","0.567","0","9","0","0","3"
"Symphonie espagnole pour violon et orchestre in D Minor, Op. 21: V. Rondo - Allegro","['Édouard Lalo', 'Pierre Monteux', 'Yehudi Menuhin']","481720","1945","1945","0.894","0.498","0.286","0.772","0.234","-13.739","0.0579","84.845","0.757","1","9","0","0","2"
"Symphony in C Major: I. Moderato alla breve","['Igor Stravinsky', 'CBC Symphony Orchestra']","564507","1948","1948","0.985","0.47","0.104","0.91","0.155","-19.671","0.0524","79.609","0.306","1","0","0","0","2"
"Symphony in C Major: II. Larghetto concertante","['Igor Stravinsky', 'CBC Symphony Orchestra']","342333","1948","1948","0.982","0.251","0.0677","0.801","0.302","-25.203","0.0432","125.74","0.227","1","5","0","0","2"
"Symphony in C Major: III. Allegretto","['Igor Stravinsky', 'CBC Symphony Orchestra']","275667","1948","1948","0.984","0.451","0.17","0.869","0.133","-17.959","0.0444","125.48","0.28","1","7","0","0","2"
"Symphony in C Major: IV. Largo - Tempo giusto, alla breve","['Igor Stravinsky', 'CBC Symphony Orchestra']","438960","1948","1948","0.988","0.358","0.214","0.944","0.0806","-17.839","0.068","91.343","0.109","1","0","0","0","2"
"Symphony of Psalms (1948 Version): I. Exaudi orationem meam, Domine - Revised 1948 version","['Igor Stravinsky', 'CBC Symphony Orchestra']","202493","1948","1948","0.988","0.221","0.0984","0.384","0.224","-16.978","0.031","88.665","0.0835","1","0","0","0","2"
"Symphony of Psalms (1948 Version): II. Exspectans exspectavi Dominum - Revised 1948 version","['Igor Stravinsky', 'CBC Symphony Orchestra']","376400","1948","1948","0.982","0.103","0.0644","0.848","0.111","-22.346","0.0463","57.619","0.0364","0","10","0","0","2"
"Symphony of Psalms (1948 Version): III. Alleluia. Laudate Dominum - Revised 1948 version","['Igor Stravinsky', 'CBC Symphony Orchestra']","716173","1948","1948","0.984","0.171","0.0964","0.877","0.106","-20.718","0.0391","77.409","0.0382","0","2","0","0","2"
"Te Metiste","['Ariel Camacho y Los Plebes Del Rancho']","209121","9/23/14","2014","0.658","0.713","0.44","2.24e-05","0.0791","-4.714","0.0391","152.031","0.809","1","7","64","0","2"
"The Firebird Suite: Lullabye (The Firebird) - Revised 1945 Version","['Igor Stravinsky', 'Columbia Symphony Orchestra']","233440","1948","1948","0.761","0.0637","0.0295","0.914","0.666","-30.257","0.0395","66.323","0.0673","1","4","0","0","2"
"The Firebird Suite: Pantomime I - Revised 1945 Version","['Igor Stravinsky', 'Columbia Symphony Orchestra']","26027","1948","1948","0.992","0.251","0.0263","0.229","0.193","-27.569","0.0446","139.695","0.0462","0","8","0","0","2"
"The Firebird Suite: Pantomime II - Revised 1945 Version","['Igor Stravinsky', 'Columbia Symphony Orchestra']","22507","1948","1948","0.985","0.387","0.0273","0.186","0.239","-23.034","0.0562","67.53","0.28","1","10","0","0","2"
"The Firebird Suite: Pantomime III - Revised 1945 Version","['Igor Stravinsky', 'Columbia Symphony Orchestra']","61027","1948","1948","0.989","0.193","0.0149","0.9","0.149","-33.836","0.0458","75.027","0.188","0","7","0","0","2"
"The Firebird Suite: Pas de deux. Firebird and Ivan Tsarevitch - Revised 1945 Version","['Igor Stravinsky', 'Columbia Symphony Orchestra']","261000","1948","1948","0.961","0.0851","0.0653","0.82","0.161","-25.257","0.0396","65.548","0.0347","1","7","0","0","2"
"The Firebird Suite: Prelude and Dance of the Firebird - Revised 1945 Version","['Igor Stravinsky', 'Columbia Symphony Orchestra']","17400","1948","1948","0.99","0.34","0.271","0.805","0.173","-18.412","0.189","74.875","0.0364","1","7","0","0","2"
"The Firebird Suite: Rondo (Khorovod) - Revised 1945 Version","['Igor Stravinsky', 'Columbia Symphony Orchestra']","252773","1948","1948","0.98","0.091","0.0325","0.875","0.0982","-28.868","0.0399","83.639","0.038","1","11","0","0","2"
"The Firebird Suite: Scherzo. Dance of the Princesses - Revised 1945 Version","['Igor Stravinsky', 'Columbia Symphony Orchestra']","151867","1948","1948","0.984","0.426","0.189","0.735","0.551","-22.835","0.0411","83.817","0.372","0","4","0","0","2"
"The Firebird Suite: Variations (Firebird) - Revised 1945 Version","['Igor Stravinsky', 'Columbia Symphony Orchestra']","81200","1948","1948","0.968","0.478","0.305","0.0156","0.662","-17.847","0.041","97.568","0.227","0","8","0","0","2"
"The House I Live In","['Earl Robinson', 'Paul Robeson Jr.', 'Lawrence Brown', 'Columbia Concert Orchestra']","188240","1942","1942","0.942","0.313","0.15","0.000605","0.0768","-13.18","0.0326","86.259","0.339","1","8","0","0","2"
"The Lord God of Abraham, from Elijah, Op. 70","['Felix Mendelssohn', 'Paul Robeson Jr.', 'Lawrence Brown']","187267","1942","1942","0.99","0.393","0.0747","0.0784","0.102","-17.93","0.0321","101.457","0.286","1","10","0","0","2"
"The Night Has A Thousand Eyes","['Horace Silver']","536573","1956","1956","0.869","0.581","0.356","0.237","0.152","-12","0.0373","91.491","0.504","1","3","13","0","2"
"The Owl and the Pussy-Cat","['Igor Stravinsky', 'Adrienne Albert', 'Robert Craft']","153733","1948","1948","0.991","0.528","0.041","3.62e-06","0.0632","-19.196","0.0367","73.116","0.452","0","10","0","0","2"
"The Party / The Morning After","['Charlie Chaplin']","482288","1931","1931","0.27","0.343","0.177","0.487","0.111","-12.608","0.0615","88.34","0.351","1","1","0","0","2"
"The Purest Kind of Guy (Joe's Birthday Song) from the opera No For An Answer","['Marc Blitzstein', 'Paul Robeson Jr.', 'Lawrence Brown']","198373","1942","1942","0.986","0.496","0.0761","0.00318","0.145","-18.193","0.0607","168.053","0.525","1","2","0","0","2"
"The Soldier's Tale Suite: I. The Soldier's March","['Igor Stravinsky']","98760","1948","1948","0.737","0.825","0.237","0.94","0.106","-16.93","0.0617","116.036","0.578","1","2","0","0","2"
"The Soldier's Tale Suite: II. Airs by a Stream","['Igor Stravinsky']","148040","1948","1948","0.828","0.712","0.0768","0.682","0.0997","-27.356","0.0522","101.321","0.56","1","7","0","0","2"
"The Soldier's Tale Suite: III. Pastorale","['Igor Stravinsky']","156000","1948","1948","0.99","0.198","0.00204","0.136","0.0696","-32.459","0.047","62.053","0.103","1","6","0","0","2"
"The Soldier's Tale Suite: IV. The Royal March","['Igor Stravinsky']","158000","1948","1948","0.851","0.767","0.383","0.916","0.0673","-17.256","0.0476","117.718","0.552","1","10","0","0","2"
"The Soldier's Tale Suite: IX. Triumphal March of the Devil","['Igor Stravinsky']","129333","1948","1948","0.813","0.815","0.402","0.912","0.0925","-19.723","0.0334","121.516","0.725","0","7","0","0","2"
"The Soldier's Tale Suite: V. The Little Concert","['Igor Stravinsky']","178467","1948","1948","0.946","0.614","0.12","0.711","0.0942","-23.989","0.0503","119.021","0.659","1","2","0","0","2"
"The Soldier's Tale Suite: VI. Three Dances: Tango - Waltz - Ragtime","['Igor Stravinsky']","350693","1948","1948","0.607","0.474","0.154","0.372","0.193","-23.403","0.197","181.328","0.211","1","7","0","0","2"
"The Soldier's Tale Suite: VII. The Devil's Dance","['Igor Stravinsky']","84267","1948","1948","0.879","0.773","0.277","0.667","0.213","-21.178","0.0389","132.7","0.799","1","7","0","0","2"
"The Soldier's Tale Suite: VIII. Great Chorale","['Igor Stravinsky']","148733","1948","1948","0.961","0.19","0.00258","0.88","0.289","-28.654","0.0353","77.403","0.064","1","7","0","0","2"
"The Star-Spangled Banner","['John Stafford Smith', 'Igor Stravinsky', 'CBC Symphony Orchestra']","83093","1948","1948","0.994","0.311","0.143","0.911","0.115","-12.392","0.0324","85.126","0.471","1","10","0","0","2"
"The Stars and Stripes Forever","['John Philip Sousa', 'Vladimir Horowitz']","230067","1928","1928","0.992","0.523","0.2","0.856","0.238","-19.334","0.0379","110.254","0.501","1","3","0","0","2"
"This Is What Makes Us Girls","['Lana Del Rey']","238373","1/30/12","2012","0.107","0.531","0.829","0.0175","0.197","-6.889","0.108","137.965","0.417","0","2","44","0","2"
"Toccata, Op. 11","['Sergei Prokofiev', 'Vladimir Horowitz']","246400","1928","1928","0.98","0.308","0.445","0.887","0.359","-17.313","0.0273","111.723","0.382","1","7","0","0","2"
"Tosca, Act I: Perchè chiuso? - Mia gelosa - Voice","['Giacomo Puccini', 'Richard Tucker', 'Ljuba Welitsch', 'Max Rudolf']","683613","1949","1949","0.987","0.281","0.154","0.00189","0.108","-15.364","0.0404","89.99","0.102","1","8","0","0","2"
"Trigona","['Rita Ampatzi']","195240","1/1/40","1940","0.97","0.353","0.506","5.3e-05","0.292","-9.419","0.0543","90.047","0.663","0","5","0","0","2"
